Origen;Centro;AIRE;TIERRA;MAR;Total
REINO_UNIDO;PANAMA;0,0;0,0;0,0;0,0
REINO_UNIDO;NUEVA_YORK;0,0;0,0;0,0;0,0
REINO_UNIDO;AMSTERDAM;0,0;0,0;0,0;0,0
REINO_UNIDO;ESTAMBUL;320,0;0,0;0,0;320,0
REINO_UNIDO;TOKIO;0,0;0,0;0,0;0,0
IRLANDA;SAN_PABLO;0,0;0,0;0,0;0,0
IRLANDA;PANAMA;0,0;0,0;0,0;0,0
IRLANDA;NUEVA_YORK;0,0;0,0;0,0;0,0
IRLANDA;AMSTERDAM;70,0;0,0;0,0;70,0
IRLANDA;ESTAMBUL;170,0;0,0;0,0;170,0
IRLANDA;TOKIO;0,0;0,0;0,0;0,0
PAISES_BAJOS;SAN_PABLO;0,0;0,0;0,0;0,0
PAISES_BAJOS;PANAMA;0,0;0,0;0,0;0,0
PAISES_BAJOS;NUEVA_YORK;0,0;0,0;0,0;0,0
PAISES_BAJOS;AMSTERDAM;0,0;540,0;0,0;540,0
PAISES_BAJOS;ESTAMBUL;0,0;0,0;0,0;0,0
PAISES_BAJOS;TOKIO;0,0;0,0;0,0;0,0
ALEMANIA;SAN_PABLO;0,0;0,0;0,0;0,0
ALEMANIA;PANAMA;0,0;0,0;0,0;0,0
ALEMANIA;NUEVA_YORK;0,0;0,0;0,0;0,0
ALEMANIA;AMSTERDAM;630,0;360,0;0,0;990,0
ALEMANIA;ESTAMBUL;0,0;0,0;0,0;0,0
ALEMANIA;TOKIO;0,0;0,0;0,0;0,0
TURQUIA;SAN_PABLO;0,0;0,0;0,0;0,0
TURQUIA;PANAMA;0,0;0,0;0,0;0,0
TURQUIA;NUEVA_YORK;0,0;0,0;0,0;0,0
TURQUIA;AMSTERDAM;0,0;0,0;0,0;0,0
TURQUIA;ESTAMBUL;230,0;10,0;0,0;240,0
TURQUIA;TOKIO;0,0;0,0;0,0;0,0
ISRAEL;SAN_PABLO;0,0;0,0;0,0;0,0
ISRAEL;PANAMA;0,0;0,0;0,0;0,0
ISRAEL;NUEVA_YORK;0,0;0,0;0,0;0,0
ISRAEL;AMSTERDAM;0,0;0,0;0,0;0,0
ISRAEL;ESTAMBUL;450,0;0,0;0,0;450,0
ISRAEL;TOKIO;0,0;0,0;0,0;0,0
TAIWAN;SAN_PABLO;0,0;0,0;0,0;0,0
TAIWAN;PANAMA;0,0;0,0;0,0;0,0
TAIWAN;NUEVA_YORK;0,0;0,0;0,0;0,0
TAIWAN;AMSTERDAM;0,0;0,0;0,0;0,0
TAIWAN;ESTAMBUL;0,0;0,0;0,0;0,0
TAIWAN;TOKIO;0,0;0,0;344,0;344,0
JAPON;SAN_PABLO;0,0;0,0;0,0;0,0
JAPON;PANAMA;0,0;0,0;0,0;0,0
JAPON;NUEVA_YORK;0,0;0,0;0,0;0,0
JAPON;AMSTERDAM;0,0;0,0;0,0;0,0
JAPON;ESTAMBUL;0,0;0,0;0,0;0,0
JAPON;TOKIO;0,0;0,0;638,0;638,0
CHINA;SAN_PABLO;0,0;0,0;0,0;0,0
CHINA;PANAMA;0,0;0,0;0,0;0,0
CHINA;NUEVA_YORK;0,0;0,0;0,0;0,0
CHINA;AMSTERDAM;0,0;0,0;741,0;741,0
CHINA;ESTAMBUL;0,0;0,0;0,0;0,0
CHINA;TOKIO;0,0;0,0;0,0;0,0
AUSTRALIA;SAN_PABLO;0,0;0,0;0,0;0,0
AUSTRALIA;PANAMA;0,0;0,0;0,0;0,0
AUSTRALIA;NUEVA_YORK;0,0;0,0;0,0;0,0
AUSTRALIA;AMSTERDAM;0,0;0,0;0,0;0,0
AUSTRALIA;ESTAMBUL;0,0;0,0;300,0;300,0
AUSTRALIA;TOKIO;0,0;0,0;0,0;0,0
NUEVA_ZELANDA;SAN_PABLO;0,0;0,0;0,0;0,0
NUEVA_ZELANDA;PANAMA;0,0;0,0;0,0;0,0
NUEVA_ZELANDA;NUEVA_YORK;0,0;0,0;0,0;0,0
NUEVA_ZELANDA;AMSTERDAM;0,0;0,0;0,0;0,0
NUEVA_ZELANDA;ESTAMBUL;0,0;0,0;0,0;0,0
NUEVA_ZELANDA;TOKIO;0,0;0,0;0,0;0,0
