Origen;Destino;Ayuda AIRE (tn);Ayuda TIERRA (tn);Ayuda MAR (tn);Ayuda Total (tn)
BOGOTA;TOKIO;0,0;0,0;0,0;0,0
BOGOTA;TAIPEI;0,0;0,0;0,0;0,0
NUEVA_YORK;SAN_PABLO;0,0;0,0;0,0;0,0
NUEVA_YORK;PANAMA;0,0;0,0;0,0;0,0
NUEVA_YORK;BOGOTA;0,0;0,0;0,0;0,0
NUEVA_YORK;NUEVA_YORK;0,0;0,0;0,0;0,0
NUEVA_YORK;MIAMI;0,0;0,0;684,0;684,0
NUEVA_YORK;AMSTERDAM;0,0;0,0;0,0;0,0
NUEVA_YORK;LONDRES;0,0;0,0;0,0;0,0
NUEVA_YORK;ROMA;0,0;0,0;575,0;575,0
NUEVA_YORK;ESTAMBUL;0,0;0,0;0,0;0,0
NUEVA_YORK;HAIFA;0,0;0,0;0,0;0,0
NUEVA_YORK;TOKIO;0,0;0,0;0,0;0,0
NUEVA_YORK;TAIPEI;0,0;0,0;0,0;0,0
MIAMI;SAN_PABLO;0,0;0,0;0,0;0,0
MIAMI;PANAMA;0,0;0,0;0,0;0,0
MIAMI;BOGOTA;0,0;0,0;0,0;0,0
MIAMI;NUEVA_YORK;0,0;0,0;0,0;0,0
MIAMI;MIAMI;0,0;0,0;0,0;0,0
MIAMI;AMSTERDAM;0,0;0,0;0,0;0,0
MIAMI;LONDRES;0,0;0,0;0,0;0,0
MIAMI;ROMA;0,0;0,0;0,0;0,0
MIAMI;ESTAMBUL;0,0;0,0;0,0;0,0
MIAMI;HAIFA;0,0;0,0;0,0;0,0
MIAMI;TOKIO;0,0;0,0;0,0;0,0
MIAMI;TAIPEI;0,0;0,0;0,0;0,0
AMSTERDAM;SAN_PABLO;0,0;0,0;0,0;0,0
AMSTERDAM;PANAMA;0,0;0,0;0,0;0,0
AMSTERDAM;BOGOTA;0,0;0,0;0,0;0,0
AMSTERDAM;NUEVA_YORK;0,0;0,0;0,0;0,0
AMSTERDAM;MIAMI;0,0;0,0;0,0;0,0
AMSTERDAM;AMSTERDAM;0,0;0,0;0,0;0,0
AMSTERDAM;LONDRES;0,0;0,0;0,0;0,0
AMSTERDAM;ROMA;0,0;0,0;0,0;0,0
AMSTERDAM;ESTAMBUL;0,0;0,0;0,0;0,0
AMSTERDAM;HAIFA;0,0;0,0;0,0;0,0
AMSTERDAM;TOKIO;0,0;0,0;0,0;0,0
AMSTERDAM;TAIPEI;0,0;0,0;0,0;0,0
LONDRES;SAN_PABLO;0,0;0,0;0,0;0,0
LONDRES;PANAMA;0,0;0,0;0,0;0,0
LONDRES;BOGOTA;0,0;0,0;0,0;0,0
LONDRES;NUEVA_YORK;0,0;0,0;0,0;0,0
LONDRES;MIAMI;0,0;0,0;0,0;0,0
LONDRES;AMSTERDAM;0,0;0,0;0,0;0,0
LONDRES;LONDRES;0,0;0,0;0,0;0,0
LONDRES;ROMA;0,0;0,0;0,0;0,0
LONDRES;ESTAMBUL;0,0;0,0;0,0;0,0
LONDRES;HAIFA;0,0;0,0;0,0;0,0
LONDRES;TOKIO;0,0;0,0;0,0;0,0
LONDRES;TAIPEI;0,0;0,0;0,0;0,0
ROMA;SAN_PABLO;0,0;0,0;0,0;0,0
ROMA;PANAMA;0,0;0,0;0,0;0,0
ROMA;BOGOTA;0,0;0,0;0,0;0,0
ROMA;NUEVA_YORK;0,0;0,0;0,0;0,0
ROMA;MIAMI;0,0;0,0;0,0;0,0
ROMA;AMSTERDAM;0,0;0,0;0,0;0,0
ROMA;LONDRES;0,0;0,0;0,0;0,0
ROMA;ROMA;0,0;0,0;0,0;0,0
ROMA;ESTAMBUL;0,0;0,0;0,0;0,0
ROMA;HAIFA;0,0;0,0;0,0;0,0
ROMA;TOKIO;0,0;0,0;0,0;0,0
ROMA;TAIPEI;0,0;0,0;0,0;0,0
ESTAMBUL;SAN_PABLO;0,0;0,0;0,0;0,0
ESTAMBUL;PANAMA;0,0;0,0;0,0;0,0
ESTAMBUL;BOGOTA;0,0;0,0;0,0;0,0
ESTAMBUL;NUEVA_YORK;0,0;0,0;0,0;0,0
ESTAMBUL;MIAMI;0,0;0,0;0,0;0,0
ESTAMBUL;AMSTERDAM;0,0;0,0;0,0;0,0
ESTAMBUL;LONDRES;0,0;0,0;0,0;0,0
ESTAMBUL;ROMA;0,0;0,0;0,0;0,0
ESTAMBUL;ESTAMBUL;0,0;0,0;0,0;0,0
ESTAMBUL;HAIFA;0,0;0,0;0,0;0,0
ESTAMBUL;TOKIO;0,0;0,0;0,0;0,0
ESTAMBUL;TAIPEI;0,0;0,0;0,0;0,0
HAIFA;SAN_PABLO;0,0;0,0;0,0;0,0
HAIFA;PANAMA;0,0;0,0;0,0;0,0
HAIFA;BOGOTA;0,0;0,0;0,0;0,0
HAIFA;NUEVA_YORK;0,0;0,0;0,0;0,0
HAIFA;MIAMI;0,0;0,0;0,0;0,0
HAIFA;AMSTERDAM;0,0;0,0;0,0;0,0
HAIFA;LONDRES;0,0;0,0;0,0;0,0
HAIFA;ROMA;0,0;0,0;0,0;0,0
HAIFA;ESTAMBUL;0,0;0,0;0,0;0,0
HAIFA;HAIFA;0,0;0,0;0,0;0,0
HAIFA;TOKIO;0,0;0,0;0,0;0,0
HAIFA;TAIPEI;0,0;0,0;0,0;0,0
TOKIO;SAN_PABLO;0,0;0,0;0,0;0,0
TOKIO;PANAMA;0,0;0,0;0,0;0,0
TOKIO;BOGOTA;0,0;0,0;0,0;0,0
TOKIO;NUEVA_YORK;0,0;0,0;0,0;0,0
TOKIO;MIAMI;0,0;0,0;0,0;0,0
TOKIO;AMSTERDAM;0,0;0,0;0,0;0,0
TOKIO;LONDRES;0,0;0,0;0,0;0,0
TOKIO;ROMA;0,0;0,0;0,0;0,0
TOKIO;ESTAMBUL;0,0;0,0;0,0;0,0
TOKIO;HAIFA;0,0;0,0;0,0;0,0
TOKIO;TOKIO;0,0;0,0;0,0;0,0
TOKIO;TAIPEI;0,0;0,0;0,0;0,0
TAIPEI;SAN_PABLO;0,0;0,0;0,0;0,0
TAIPEI;PANAMA;0,0;0,0;0,0;0,0
TAIPEI;BOGOTA;0,0;0,0;0,0;0,0
TAIPEI;NUEVA_YORK;0,0;0,0;0,0;0,0
TAIPEI;MIAMI;0,0;0,0;0,0;0,0
TAIPEI;AMSTERDAM;0,0;0,0;0,0;0,0
TAIPEI;LONDRES;0,0;0,0;0,0;0,0
TAIPEI;ROMA;0,0;0,0;0,0;0,0
TAIPEI;ESTAMBUL;0,0;0,0;0,0;0,0
TAIPEI;HAIFA;0,0;0,0;0,0;0,0
TAIPEI;TOKIO;0,0;0,0;0,0;0,0
TAIPEI;TAIPEI;0,0;0,0;0,0;0,0
